指標名,系列種別,年月,指数
生鮮食品を除く総合,原数値,2013-02-01,94.6
生鮮食品を除く総合,原数値,2013-03-01,94.9
生鮮食品を除く総合,原数値,2013-04-01,95.2
生鮮食品を除く総合,原数値,2013-05-01,95.4
生鮮食品を除く総合,原数値,2013-06-01,95.4
生鮮食品を除く総合,原数値,2013-07-01,95.5
生鮮食品を除く総合,原数値,2013-08-01,95.8
生鮮食品を除く総合,原数値,2013-09-01,95.9
生鮮食品を除く総合,原数値,2013-10-01,96.1
生鮮食品を除く総合,原数値,2013-11-01,96.1
生鮮食品を除く総合,原数値,2013-12-01,96.0
生鮮食品を除く総合,原数値,2014-01-01,95.8
生鮮食品を除く総合,原数値,2014-02-01,95.9
生鮮食品を除く総合,原数値,2014-03-01,96.2
生鮮食品を除く総合,原数値,2014-04-01,98.3
生鮮食品を除く総合,原数値,2014-05-01,98.6
生鮮食品を除く総合,原数値,2014-06-01,98.6
生鮮食品を除く総合,原数値,2014-07-01,98.7
生鮮食品を除く総合,原数値,2014-08-01,98.8
生鮮食品を除く総合,原数値,2014-09-01,98.8
生鮮食品を除く総合,原数値,2014-10-01,98.9
生鮮食品を除く総合,原数値,2014-11-01,98.6
生鮮食品を除く総合,原数値,2014-12-01,98.5
生鮮食品を除く総合,原数値,2015-01-01,98.0
生鮮食品を除く総合,原数値,2015-02-01,97.9
生鮮食品を除く総合,原数値,2015-03-01,98.3
生鮮食品を除く総合,原数値,2015-04-01,98.7
生鮮食品を除く総合,原数値,2015-05-01,98.8
生鮮食品を除く総合,原数値,2015-06-01,98.7
生鮮食品を除く総合,原数値,2015-07-01,98.6
生鮮食品を除く総合,原数値,2015-08-01,98.6
生鮮食品を除く総合,原数値,2015-09-01,98.6
生鮮食品を除く総合,原数値,2015-10-01,98.6
生鮮食品を除く総合,原数値,2015-11-01,98.6
生鮮食品を除く総合,原数値,2015-12-01,98.5
生鮮食品を除く総合,原数値,2016-01-01,98.0
生鮮食品を除く総合,原数値,2016-02-01,97.9
生鮮食品を除く総合,原数値,2016-03-01,98.0
生鮮食品を除く総合,原数値,2016-04-01,98.3
生鮮食品を除く総合,原数値,2016-05-01,98.4
生鮮食品を除く総合,原数値,2016-06-01,98.3
生鮮食品を除く総合,原数値,2016-07-01,98.1
生鮮食品を除く総合,原数値,2016-08-01,98.1
生鮮食品を除く総合,原数値,2016-09-01,98.1
生鮮食品を除く総合,原数値,2016-10-01,98.3
生鮮食品を除く総合,原数値,2016-11-01,98.3
生鮮食品を除く総合,原数値,2016-12-01,98.3
生鮮食品を除く総合,原数値,2017-01-01,98.1
生鮮食品を除く総合,原数値,2017-02-01,98.1
生鮮食品を除く総合,原数値,2017-03-01,98.3
生鮮食品を除く総合,原数値,2017-04-01,98.6
生鮮食品を除く総合,原数値,2017-05-01,98.8
生鮮食品を除く総合,原数値,2017-06-01,98.7
生鮮食品を除く総合,原数値,2017-07-01,98.6
生鮮食品を除く総合,原数値,2017-08-01,98.8
生鮮食品を除く総合,原数値,2017-09-01,98.8
生鮮食品を除く総合,原数値,2017-10-01,99.1
生鮮食品を除く総合,原数値,2017-11-01,99.2
生鮮食品を除く総合,原数値,2017-12-01,99.2
生鮮食品を除く総合,原数値,2018-01-01,98.9
生鮮食品を除く総合,原数値,2018-02-01,99.1
生鮮食品を除く総合,原数値,2018-03-01,99.1
生鮮食品を除く総合,原数値,2018-04-01,99.3
生鮮食品を除く総合,原数値,2018-05-01,99.5
生鮮食品を除く総合,原数値,2018-06-01,99.5
生鮮食品を除く総合,原数値,2018-07-01,99.4
生鮮食品を除く総合,原数値,2018-08-01,99.7
生鮮食品を除く総合,原数値,2018-09-01,99.7
生鮮食品を除く総合,原数値,2018-10-01,100.1
生鮮食品を除く総合,原数値,2018-11-01,100.1
生鮮食品を除く総合,原数値,2018-12-01,99.9
生鮮食品を除く総合,原数値,2019-01-01,99.7
生鮮食品を除く総合,原数値,2019-02-01,99.8
生鮮食品を除く総合,原数値,2019-03-01,99.9
生鮮食品を除く総合,原数値,2019-04-01,100.2
生鮮食品を除く総合,原数値,2019-05-01,100.2
生鮮食品を除く総合,原数値,2019-06-01,100.1
生鮮食品を除く総合,原数値,2019-07-01,100.0
生鮮食品を除く総合,原数値,2019-08-01,100.2
生鮮食品を除く総合,原数値,2019-09-01,100.1
生鮮食品を除く総合,原数値,2019-10-01,100.5
生鮮食品を除く総合,原数値,2019-11-01,100.6
生鮮食品を除く総合,原数値,2019-12-01,100.6
生鮮食品を除く総合,原数値,2020-01-01,100.5
生鮮食品を除く総合,原数値,2020-02-01,100.4
生鮮食品を除く総合,原数値,2020-03-01,100.5
生鮮食品を除く総合,原数値,2020-04-01,100.1
生鮮食品を除く総合,原数値,2020-05-01,100.1
生鮮食品を除く総合,原数値,2020-06-01,100.0
生鮮食品を除く総合,原数値,2020-07-01,100.0
生鮮食品を除く総合,原数値,2020-08-01,99.8
生鮮食品を除く総合,原数値,2020-09-01,99.7
生鮮食品を除く総合,原数値,2020-10-01,99.7
生鮮食品を除く総合,原数値,2020-11-01,99.6
生鮮食品を除く総合,原数値,2020-12-01,99.6
生鮮食品を除く総合,原数値,2021-01-01,99.8
生鮮食品を除く総合,原数値,2021-02-01,99.9
生鮮食品を除く総合,原数値,2021-03-01,100.1
生鮮食品を除く総合,原数値,2021-04-01,99.3
生鮮食品を除く総合,原数値,2021-05-01,99.5
生鮮食品を除く総合,原数値,2021-06-01,99.5
生鮮食品を除く総合,原数値,2021-07-01,99.8
生鮮食品を除く総合,原数値,2021-08-01,99.8
生鮮食品を除く総合,原数値,2021-09-01,99.8
生鮮食品を除く総合,原数値,2021-10-01,99.9
生鮮食品を除く総合,原数値,2021-11-01,100.1
生鮮食品を除く総合,原数値,2021-12-01,100.0
生鮮食品を除く総合,原数値,2022-01-01,100.1
生鮮食品を除く総合,原数値,2022-02-01,100.5
生鮮食品を除く総合,原数値,2022-03-01,100.9
生鮮食品を除く総合,原数値,2022-04-01,101.4
生鮮食品を除く総合,原数値,2022-05-01,101.6
生鮮食品を除く総合,原数値,2022-06-01,101.7
生鮮食品を除く総合,原数値,2022-07-01,102.2
生鮮食品を除く総合,原数値,2022-08-01,102.5
生鮮食品を除く総合,原数値,2022-09-01,102.9
生鮮食品を除く総合,原数値,2022-10-01,103.4
生鮮食品を除く総合,原数値,2022-11-01,103.8
生鮮食品を除く総合,原数値,2022-12-01,104.1
生鮮食品を除く総合,原数値,2023-01-01,104.3
生鮮食品を除く総合,原数値,2023-02-01,103.6
生鮮食品を除く総合,原数値,2023-03-01,104.1
生鮮食品を除く総合,原数値,2023-04-01,104.8
生鮮食品を除く総合,原数値,2023-05-01,104.8
生鮮食品を除く総合,原数値,2023-06-01,105.0
生鮮食品を除く総合,原数値,2023-07-01,105.4
生鮮食品を除く総合,原数値,2023-08-01,105.7
生鮮食品を除く総合,原数値,2023-09-01,105.7
生鮮食品を除く総合,原数値,2023-10-01,106.4
生鮮食品を除く総合,原数値,2023-11-01,106.4
生鮮食品を除く総合,原数値,2023-12-01,106.4
生鮮食品を除く総合,原数値,2024-01-01,106.4
生鮮食品を除く総合,原数値,2024-02-01,106.5
生鮮食品を除く総合,原数値,2024-03-01,106.8
生鮮食品を除く総合,原数値,2024-04-01,107.1
生鮮食品を除く総合,原数値,2024-05-01,107.5
生鮮食品を除く総合,原数値,2024-06-01,107.8
生鮮食品を除く総合,原数値,2024-07-01,108.3
生鮮食品を除く総合,原数値,2024-08-01,108.7
生鮮食品を除く総合,原数値,2024-09-01,108.2
生鮮食品を除く総合,原数値,2024-10-01,108.8
生鮮食品を除く総合,原数値,2024-11-01,109.2
生鮮食品を除く総合,原数値,2024-12-01,109.6
生鮮食品を除く総合,原数値,2025-01-01,109.8
生鮮食品を除く総合,原数値,2025-02-01,109.7
生鮮食品を除く総合,原数値,2025-03-01,110.2
生鮮食品を除く総合,原数値,2025-04-01,110.9
生鮮食品を除く総合,原数値,2025-05-01,111.4
生鮮食品を除く総合,原数値,2025-06-01,111.4
生鮮食品を除く総合,原数値,2025-07-01,111.6
生鮮食品を除く総合,原数値,2025-08-01,111.6
生鮮食品を除く総合,原数値,2025-09-01,111.4
生鮮食品を除く総合,原数値,2025-10-01,112.1
生鮮食品を除く総合,原数値,2025-11-01,112.5
生鮮食品を除く総合,原数値,2025-12-01,112.2
生鮮食品を除く総合,原数値,2026-01-01,112.0
生鮮食品を除く総合,原数値,2026-02-01,111.4
生鮮食品を除く総合,原数値,2026-03-01,112.1
生鮮食品を除く総合,原数値,2026-04-01,112.5
生鮮食品を除く総合,原数値,2026-05-01,113.0
生鮮食品を除く総合,季節調整値,2010-01-01,96.1
生鮮食品を除く総合,季節調整値,2010-02-01,96.0
生鮮食品を除く総合,季節調整値,2010-03-01,95.8
生鮮食品を除く総合,季節調整値,2010-04-01,95.5
生鮮食品を除く総合,季節調整値,2010-05-01,95.4
生鮮食品を除く総合,季節調整値,2010-06-01,95.5
生鮮食品を除く総合,季節調整値,2010-07-01,95.2
生鮮食品を除く総合,季節調整値,2010-08-01,95.1
生鮮食品を除く総合,季節調整値,2010-09-01,95.0
生鮮食品を除く総合,季節調整値,2010-10-01,95.2
生鮮食品を除く総合,季節調整値,2010-11-01,95.2
生鮮食品を除く総合,季節調整値,2010-12-01,95.2
生鮮食品を除く総合,季節調整値,2011-01-01,95.3
生鮮食品を除く総合,季節調整値,2011-02-01,95.2
生鮮食品を除く総合,季節調整値,2011-03-01,95.1
生鮮食品を除く総合,季節調整値,2011-04-01,95.2
生鮮食品を除く総合,季節調整値,2011-05-01,95.3
生鮮食品を除く総合,季節調整値,2011-06-01,95.2
生鮮食品を除く総合,季節調整値,2011-07-01,95.3
生鮮食品を除く総合,季節調整値,2011-08-01,95.3
生鮮食品を除く総合,季節調整値,2011-09-01,95.2
生鮮食品を除く総合,季節調整値,2011-10-01,95.1
生鮮食品を除く総合,季節調整値,2011-11-01,95.1
生鮮食品を除く総合,季節調整値,2011-12-01,95.1
生鮮食品を除く総合,季節調整値,2012-01-01,95.2
生鮮食品を除く総合,季節調整値,2012-02-01,95.3
生鮮食品を除く総合,季節調整値,2012-03-01,95.4
生鮮食品を除く総合,季節調整値,2012-04-01,95.4
生鮮食品を除く総合,季節調整値,2012-05-01,95.2
生鮮食品を除く総合,季節調整値,2012-06-01,95.0
生鮮食品を除く総合,季節調整値,2012-07-01,94.9
生鮮食品を除く総合,季節調整値,2012-08-01,95.0
生鮮食品を除く総合,季節調整値,2012-09-01,95.1
生鮮食品を除く総合,季節調整値,2012-10-01,95.1
生鮮食品を除く総合,季節調整値,2012-11-01,95.0
生鮮食品を除く総合,季節調整値,2012-12-01,94.9
生鮮食品を除く総合,季節調整値,2013-01-01,95.0
生鮮食品を除く総合,季節調整値,2013-02-01,95.0
生鮮食品を除く総合,季節調整値,2013-03-01,95.0
生鮮食品を除く総合,季節調整値,2013-04-01,95.1
生鮮食品を除く総合,季節調整値,2013-05-01,95.2
生鮮食品を除く総合,季節調整値,2013-06-01,95.4
生鮮食品を除く総合,季節調整値,2013-07-01,95.5
生鮮食品を除く総合,季節調整値,2013-08-01,95.7
生鮮食品を除く総合,季節調整値,2013-09-01,95.8
生鮮食品を除く総合,季節調整値,2013-10-01,95.9
生鮮食品を除く総合,季節調整値,2013-11-01,96.0
生鮮食品を除く総合,季節調整値,2013-12-01,96.1
生鮮食品を除く総合,季節調整値,2014-01-01,96.2
生鮮食品を除く総合,季節調整値,2014-02-01,96.2
生鮮食品を除く総合,季節調整値,2014-03-01,96.3
生鮮食品を除く総合,季節調整値,2014-04-01,98.1
生鮮食品を除く総合,季節調整値,2014-05-01,98.4
生鮮食品を除く総合,季節調整値,2014-06-01,98.5
生鮮食品を除く総合,季節調整値,2014-07-01,98.7
生鮮食品を除く総合,季節調整値,2014-08-01,98.7
生鮮食品を除く総合,季節調整値,2014-09-01,98.7
生鮮食品を除く総合,季節調整値,2014-10-01,98.7
生鮮食品を除く総合,季節調整値,2014-11-01,98.6
生鮮食品を除く総合,季節調整値,2014-12-01,98.5
生鮮食品を除く総合,季節調整値,2015-01-01,98.4
生鮮食品を除く総合,季節調整値,2015-02-01,98.3
生鮮食品を除く総合,季節調整値,2015-03-01,98.5
生鮮食品を除く総合,季節調整値,2015-04-01,98.6
生鮮食品を除く総合,季節調整値,2015-05-01,98.6
生鮮食品を除く総合,季節調整値,2015-06-01,98.6
生鮮食品を除く総合,季節調整値,2015-07-01,98.6
生鮮食品を除く総合,季節調整値,2015-08-01,98.5
生鮮食品を除く総合,季節調整値,2015-09-01,98.5
生鮮食品を除く総合,季節調整値,2015-10-01,98.4
生鮮食品を除く総合,季節調整値,2015-11-01,98.5
生鮮食品を除く総合,季節調整値,2015-12-01,98.5
生鮮食品を除く総合,季節調整値,2016-01-01,98.3
生鮮食品を除く総合,季節調整値,2016-02-01,98.2
生鮮食品を除く総合,季節調整値,2016-03-01,98.2
生鮮食品を除く総合,季節調整値,2016-04-01,98.2
生鮮食品を除く総合,季節調整値,2016-05-01,98.2
生鮮食品を除く総合,季節調整値,2016-06-01,98.2
生鮮食品を除く総合,季節調整値,2016-07-01,98.1
生鮮食品を除く総合,季節調整値,2016-08-01,98.1
生鮮食品を除く総合,季節調整値,2016-09-01,98.1
生鮮食品を除く総合,季節調整値,2016-10-01,98.1
生鮮食品を除く総合,季節調整値,2016-11-01,98.2
生鮮食品を除く総合,季節調整値,2016-12-01,98.3
生鮮食品を除く総合,季節調整値,2017-01-01,98.4
生鮮食品を除く総合,季節調整値,2017-02-01,98.4
生鮮食品を除く総合,季節調整値,2017-03-01,98.4
生鮮食品を除く総合,季節調整値,2017-04-01,98.5
生鮮食品を除く総合,季節調整値,2017-05-01,98.6
生鮮食品を除く総合,季節調整値,2017-06-01,98.6
生鮮食品を除く総合,季節調整値,2017-07-01,98.6
生鮮食品を除く総合,季節調整値,2017-08-01,98.7
生鮮食品を除く総合,季節調整値,2017-09-01,98.8
生鮮食品を除く総合,季節調整値,2017-10-01,98.9
生鮮食品を除く総合,季節調整値,2017-11-01,99.0
生鮮食品を除く総合,季節調整値,2017-12-01,99.1
生鮮食品を除く総合,季節調整値,2018-01-01,99.2
生鮮食品を除く総合,季節調整値,2018-02-01,99.3
生鮮食品を除く総合,季節調整値,2018-03-01,99.3
