年月,CPI前年同月比,完全失業率
2016-04-01,-0.3048780487804992,3.2
2016-05-01,-0.5065856129685908,3.2
2016-06-01,-0.3048780487804992,3.1
2016-07-01,-0.4069175991861518,3.0
2016-08-01,-0.5081300813008172,3.1
2016-09-01,-0.5076142131979711,3.0
2016-10-01,0.10152284263957867,3.0
2016-11-01,0.5096839959225274,3.0
2016-12-01,0.3058103975535298,3.0
2017-01-01,0.5117707267144223,3.0
2017-02-01,0.30674846625766694,2.9
2017-03-01,0.20429009193052572,2.8
2017-04-01,0.4077471967380175,2.8
2017-05-01,0.40733197556006573,3.0
2017-06-01,0.4077471967380175,2.8
2017-07-01,0.40858018386107364,2.8
2017-08-01,0.6128702757916216,2.8
2017-09-01,0.8163265306122325,2.8
2017-10-01,0.20283975659229903,2.7
2017-11-01,0.5070993914807254,2.7
2017-12-01,1.0162601626016343,2.7
2018-01-01,1.323828920570258,2.4
2018-02-01,1.4271151885830946,2.5
2018-03-01,1.1213047910295648,2.5
2018-04-01,0.6091370558375608,2.5
2018-05-01,0.7099391480730244,2.2
2018-06-01,0.7106598984771617,2.4
2018-07-01,0.9155645981688831,2.5
2018-08-01,1.3197969543147225,2.5
2018-09-01,1.1133603238866474,2.3
2018-10-01,1.4170040485830038,2.4
2018-11-01,0.908173562058523,2.5
2018-12-01,0.3018108651911433,2.5
2019-01-01,0.20100502512563345,2.5
2019-02-01,0.20100502512563345,2.4
2019-03-01,0.504032258064524,2.5
2019-04-01,0.908173562058523,2.4
2019-05-01,0.7049345417925457,2.3
2019-06-01,0.6048387096774244,2.3
2019-07-01,0.6048387096774244,2.3
2019-08-01,0.20040080160321772,2.3
2019-09-01,0.2002002002001957,2.4
2019-10-01,0.1996007984031989,2.4
2019-11-01,0.49999999999998934,2.3
2019-12-01,0.8024072216650024,2.2
2020-01-01,0.8024072216650024,2.4
2020-02-01,0.6018054162487463,2.4
2020-03-01,0.6018054162487463,2.5
2020-04-01,0.20000000000000018,2.6
2020-05-01,0.09999999999998899,2.8
2020-06-01,0.10020040080160886,2.8
2020-07-01,0.20040080160321772,2.9
2020-08-01,0.09999999999998899,3.0
2020-09-01,-0.19980019980019303,3.0
2020-10-01,-0.5976095617529986,3.1
2020-11-01,-0.995024875621886,3.0
2020-12-01,-1.1940298507462699,3.1
2021-01-01,-0.6965174129353269,3.0
2021-02-01,-0.49850448654037427,2.9
2021-03-01,-0.3988035892322994,2.7
2021-04-01,-1.0978043912175717,2.9
2021-05-01,-0.6993006993006867,2.9
2021-06-01,-0.4004004004004025,2.9
2021-07-01,-0.30000000000000027,2.8
2021-08-01,-0.39960039960038607,2.8
2021-09-01,0.2002002002001957,2.7
2021-10-01,0.10020040080160886,2.7
2021-11-01,0.6030150753768782,2.8
2021-12-01,0.8056394763343411,2.7
2022-01-01,0.5010020040080221,2.8
2022-02-01,0.9018036072144353,2.7
2022-03-01,1.2012012012011963,2.6
2022-04-01,2.4217961654894093,2.6
2022-05-01,2.4144869215291687,2.6
2022-06-01,2.311557788944718,2.6
2022-07-01,2.607823470411219,2.5
2022-08-01,3.0090270812437314,2.5
2022-09-01,2.9970029970030065,2.6
2022-10-01,3.803803803803807,2.6
2022-11-01,3.796203796203801,2.5
2022-12-01,3.996003996003994,2.5
2023-01-01,4.386839481555338,2.5
2023-02-01,3.277060575968216,2.6
2023-03-01,3.264094955489627,2.7
